locus_tag	ftype	length_bp	gene	EC_number	COG	product
HOBIDPDJ_00001	CDS	924			COG3039	IS5 family transposase IS903
HOBIDPDJ_00002	CDS	705				IS6 family transposase IS26
HOBIDPDJ_00003	CDS	954				IS1380 family transposase ISEcp1
HOBIDPDJ_00004	CDS	1032				IS66 family transposase ISPsy43
HOBIDPDJ_00005	CDS	915	tus_1			DNA replication terminus site-binding protein
HOBIDPDJ_00006	CDS	492				hypothetical protein
HOBIDPDJ_00007	CDS	870	dinG_1	3.1.-.-		3'-5' exonuclease DinG
HOBIDPDJ_00008	CDS	1011	xerC_1			Tyrosine recombinase XerC
HOBIDPDJ_00009	CDS	537				hypothetical protein
HOBIDPDJ_00010	CDS	288				hypothetical protein
HOBIDPDJ_00011	CDS	318				hypothetical protein
HOBIDPDJ_00012	CDS	603				hypothetical protein
HOBIDPDJ_00013	CDS	453				hypothetical protein
HOBIDPDJ_00014	CDS	273				hypothetical protein
HOBIDPDJ_00015	CDS	3582	rhsC_1	3.1.-.-	COG3209	Putative deoxyribonuclease RhsC
HOBIDPDJ_00016	CDS	690				hypothetical protein
HOBIDPDJ_00017	CDS	726				hypothetical protein
HOBIDPDJ_00018	CDS	240				hypothetical protein
HOBIDPDJ_00019	CDS	279				hypothetical protein
HOBIDPDJ_00020	CDS	1728				hypothetical protein
HOBIDPDJ_00021	CDS	387				hypothetical protein
HOBIDPDJ_00022	CDS	147				hypothetical protein
HOBIDPDJ_00023	CDS	852				hypothetical protein
HOBIDPDJ_00024	CDS	558				hypothetical protein
HOBIDPDJ_00025	CDS	219				hypothetical protein
HOBIDPDJ_00026	CDS	270				hypothetical protein
HOBIDPDJ_00027	CDS	606	yfbR_1	3.1.3.89	COG1896	5'-deoxynucleotidase YfbR
HOBIDPDJ_00028	CDS	204				hypothetical protein
HOBIDPDJ_00029	CDS	2454				hypothetical protein
HOBIDPDJ_00030	CDS	279				hypothetical protein
HOBIDPDJ_00031	CDS	231				IS3 family transposase ISEhe3
HOBIDPDJ_00032	CDS	387				hypothetical protein
HOBIDPDJ_00033	CDS	555				hypothetical protein
HOBIDPDJ_00034	CDS	300				hypothetical protein
HOBIDPDJ_00035	CDS	1626				hypothetical protein
HOBIDPDJ_00036	CDS	303				hypothetical protein
HOBIDPDJ_00037	CDS	345				hypothetical protein
HOBIDPDJ_00038	CDS	354				hypothetical protein
